"Gene.names","pvalue.-log10","FoldChange","CBX1.T_4","CBX1.T_3","CBX1.T_2","CBX1.T_1","NLS.T_4","NLS.T_3","NLS.T_2","NLS.T_1"
"A2ML1",0.0495687004995132,-0.048,20.7869651397429,20.1308638769209,20.3752702650844,20.1838474334395,20.8642027467802,20.3795064981839,19.471406289491,20.9518784540028
"AACS",0.308764803002914,-0.292,17.8273691797076,18.0135241664144,17.3730393619456,17.5405527194001,18.8170691475242,18.3168335341874,17.9613341268197,16.8286769242647
"AAGAB",0.469886176192157,0.592,19.0719899564296,18.2659727555767,18.4064624934621,17.7669296011236,18.2762481878774,19.2055219268565,16.6437712708345,17.0190154893032
"AAK1",4.08676594588702,-1.477,24.2559752353344,25.0586162943856,24.3479845674345,24.4519988335446,25.8213736267882,25.9135280008482,26.1398012970764,26.1460438167463
"AAMDC",0.157313077164545,0.067,23.4318788699154,23.2290309207366,23.3974119563959,23.1765883740367,23.3802680339941,23.4623707536781,23.3244283757284,22.7991776631489
"AAR2",0.663494188603814,-0.751,19.8803664584127,20.2703410057563,19.1577664014073,20.7161719025719,20.5594182601513,19.4403842701837,21.0630826924979,21.9668309107
"AARS1",3.95866910765216,-1.259,20.8196961677984,21.3399044509808,20.9159252464499,20.5463140538259,22.2228002857645,22.2508026555064,22.1561056019654,22.0269278787987
"AASDH",0.573698931200669,0.47,22.9226201812675,21.2487581205644,22.5108522001275,22.5033351284895,21.1337689054092,22.0337640409367,22.1746259563441,21.9635023607319
"AASDHPPT",0.571597780282394,0.151,23.195416669273,22.8830609475494,23.2669249976895,23.1091368624814,22.8656690989647,23.0104842678226,22.8305138581162,23.1423063767239
"AATF",0.645693942793658,-0.286,22.4393897869123,22.7201125069667,22.1574983848059,22.2607306520296,23.1596911666237,22.3750417941338,22.3710619509106,22.8172847730144
"ABCE1",2.87848869775255,-0.84,22.0258271353278,22.534482595117,22.0972895820123,22.449915708445,22.8122822596107,23.0896249173127,23.3042557909839,23.2630106818483
"ABCF1",0.438772717040855,0.24,24.6329879547999,25.2171352572097,24.5005204821147,24.5521684406688,24.4972647535554,24.189291755719,24.1899903809232,25.0654863164435
"ABCF2",3.04387004970405,-0.885,22.4512675287204,22.244357901954,22.4653278482007,22.9485258614641,23.3001752363256,23.2810809672951,23.5855013079022,23.4834455584427
"ABCF3",4.21504824992727,-0.768,22.3641300128136,22.5422808875293,22.4906737095683,22.476200232561,23.3244680474281,23.3015885915272,23.1900445772967,23.1284357720031
"ABHD14B",0.678000910384725,-0.573,19.9873473242634,18.5536353153206,20.1437822716168,19.5462631567639,20.5092319083594,19.9607602504483,20.6724641941563,19.380902070413
"ABI1",2.93139079749118,-0.807,21.3397511270394,21.7843758476657,21.4594230641633,21.3616519785078,22.0881873954242,22.4628916182586,22.0952838053317,22.5261282686223
"ABI2",0.690910644305166,-0.625,18.471161574666,17.850140357728,18.6593988397244,19.4748161402214,19.4911925630965,19.0693510976171,18.3227224169376,20.0705496500044
"ABITRAM",0.665345265016966,1.067,18.6646854390677,18.5684609324241,18.2343787036263,18.3555537961093,18.6080481162648,18.020236411515,18.1521130663929,14.7744641011359
"ABL1",1.24597113625546,0.339,24.9683811463482,24.5880933376572,24.8047134969658,24.6020469996862,24.679363913413,24.3158290409769,24.1550396841284,24.4583535301427
"ABL2",0.738660305958358,0.397,22.3163038151423,23.0120630975215,21.9564838397775,22.8861395090971,22.0107258915661,22.3600151670872,22.4345350550928,21.7759711785231
"ABLIM3",1.78090288342472,2.138,20.1676092170843,19.9716139927477,19.8629074202625,17.1942744133614,17.6097370447796,16.3247088511605,16.909098371814,17.8007690786953
"ABR",0.0934795051909938,0.069,24.6399591789791,24.7003290897807,23.6740101523517,23.6899576978213,24.0068451093327,24.0532488988146,24.1285912856707,24.2413773066228
"ABRACL",1.20721673053676,-1.539,18.7985103518514,18.0826473941313,15.8087346803969,19.0098481935596,18.766456835752,20.1458461589758,19.619028298682,19.3224944476775
"ABRAXAS1",1.09648771349136,0.193,25.2313760363295,25.1858041950576,25.2445109143015,25.3570258431401,24.9413058336632,25.1521613251149,25.0783033154131,25.0763823351684
"ABRAXAS2",0.463362415661977,-0.705,16.8782766561515,19.0012187391543,19.2734533383537,19.9076226037904,18.7924561103632,18.7125371038843,19.9858251153105,20.3882056778659
"ABT1",3.97906896592433,-1.264,18.3017441501588,18.6604800788284,18.3871497521783,18.5968859704548,19.8703282512058,20.0510167458676,19.7305493815107,19.3494397586762
"ABTB3",0.0250582131433831,0.055,16.6478732945139,17.0335603536296,16.3515329588105,18.8629512459557,16.8080384831077,17.9734046012902,18.343633833546,15.5511154216744
"ACAA1",0.619773892464596,0.549,17.2416382187299,17.1064137095312,16.2429777719536,17.1225501085659,17.3371854650824,16.5155835745201,16.3577024658795,15.3055809702365
"ACACA",1.769182008374,0.313,31.7526981452955,31.7311912650196,31.782359164549,31.9243541668112,31.3367696416841,31.5173244332378,31.6101398679355,31.4746425698815
"ACACB",0.951564015240381,0.325,23.3497017610079,23.3282080171058,23.388614239479,23.5648515963389,22.5815893607462,23.1562789067768,23.380804554605,23.2130955334065
"ACAP2",3.05108368858293,-1.285,18.877579979421,18.8921847220188,18.3401509863855,18.7204168728302,20.0613241181747,19.7435811982244,20.5955082582523,19.5717329226508
"ACAT2",0.391192431799271,-0.197,16.6908380448257,16.9567742384046,16.6908289795717,17.4013352652854,16.9199036698463,17.1865339410614,17.5761673611631,16.8452739895339
"ACBD3",2.75336090300844,0.762,23.559407333142,22.9165480799568,22.932064006658,22.9677847762086,22.3647625158473,22.2429395588043,22.3572426275628,22.3608726347546
"ACD",2.81969835449471,0.767,23.9919435963982,23.9614906966737,24.015347962412,24.0070705275349,23.4347305635037,22.900335657565,23.0350154042413,23.5377617107479
"ACIN1",2.03659286160609,0.376,27.9402971565447,28.1166859481943,28.1108777131567,27.9660179730051,27.7390535735748,27.6733157339197,27.7535908131226,27.4652343561192
"ACLY",3.59627611667251,-0.757,24.4556633131955,24.4706269397028,24.5641778408489,24.6192956462489,25.2906196714615,25.0339910786716,25.4280389553981,25.3868482273317
"ACO1",0.342436196688849,-0.26,19.5102149331252,20.8474262753581,19.2201532441658,20.0004384475461,20.2581271433269,20.0825371139264,20.2381581356692,20.0398104432865
"ACOT2",1.06110598147339,-1.433,16.5805321038922,16.7962634589174,16.3829545109528,19.4521407118012,17.7421032262851,19.5911209769257,18.7124203687413,18.8975783097804
"ACOT7",0.0237127526393578,-0.044,20.4630396363934,21.2405814961763,21.0094705753937,23.5754350577088,21.6957601953828,21.5937551945008,22.0355906260543,21.139017886161
"ACSL4",0.00238255037228431,-0.005,17.557249451773,14.8446800428993,17.7958454063016,16.0439669541818,17.0597907576936,16.9876455356849,16.5531806246109,15.6604482886013
"ACSS2",1.40091226222317,-0.29,21.3406908493299,21.1613246216874,21.3548714679498,21.0830346643578,21.6727830362186,21.4118736800418,21.4079900629701,21.6087004654453
"ACTA1",2.29856528747229,-4.172,19.6742482953894,15.2767095451351,16.5716413490562,20.1530382653096,21.8316654756026,22.5659048850918,22.2546735828952,21.7128749442247
"ACTA2",4.33508122603774,-0.864,27.3221883978126,27.4283085304718,27.2157117335568,27.3762053518109,28.2932626567698,28.1301511187681,28.3051208135575,28.0689250623289
